Player,Team,AB,1B,2B,3B,HR,TB/AB,BB/K
C Bender,BOR,33,7,1,,1,0.39,0.2
K. Fedko,BOR,50,11,,,,0.22,0.21
D. Rushing,BOR,95,17,6,,5,0.52,0.54
C. Knapczyk,BOR,90,22,8,,,0.42,0.86
C. Wallace,BOR,62,11,5,,2,0.47,0.32
R. Crawford,BOR,27,5,2,,1,0.48,0.13
M. Anderson,BOR,90,20,7,,1,0.42,0.33
J. Lampe,BOR,93,24,,1,,0.29,0.7
N. Goodwin,BOR,59,12,1,,1,0.31,0.21
B. Wimmer,BOR,85,16,6,,2,0.42,0.15
T. Schobel,BOR,62,12,3,,3,0.48,0.26
C. Thomas,BOR,73,7,4,2,4,0.51,0.27
P. Burns,BOR,41,6,2,,,0.24,1
Z. Agnos,BOR,61,4,2,2,3,0.43,0.41
J. Moylan,BOR,51,6,,,1,0.2,0.39
S. Goosenberg,BRE,37,8,1,,1,0.38,0.29
C. Davis,BRE,50,19,,,2,0.54,0.9
C. Castillo,BRE,30,7,1,,1,0.43,0.64
Z. Neto,BRE,46,7,4,,3,0.59,1
J. Thompson,BRE,85,10,7,2,3,0.49,0.85
K. Byrne,BRE,60,10,2,,,0.23,0.19
C. Lanzilli,BRE,31,4,2,,,0.26,0.29
A. Freeland,BRE,63,11,3,,,0.27,0.88
S. Jones,BRE,57,9,4,,3,0.51,0.23
W. Simpson,BRE,60,8,2,,3,0.4,0.48
D. Carter,BRE,29,2,2,,,0.21,0.63
N. Biddison,BRE,54,5,2,1,,0.22,0.5
T. Faltine,BRE,45,5,1,,1,0.24,0.28
M. Bingham,BRE,41,5,1,,,0.17,0.47
G. Cross,BRE,19,,,,2,0.42,0.5
C. Weiss,BRE,44,3,,,2,0.25,0.63
P. Brown,BRE,38,2,1,,,0.11,0.32
A. Benefield,CHA,36,2,2,,2,0.39,0.43
G. Martin,CHA,26,4,1,,1,0.38,0.08
M. Hogan,CHA,63,7,6,,3,0.49,0.38
D. Serretti,CHA,55,13,3,,,0.35,0.42
C. Grice,CHA,28,5,,,2,0.46,0.33
K. Parada,CHA,28,5,2,,,0.32,1.33
M. Romero Jr,CHA,66,9,4,,4,0.5,0.09
J. Rivera,CHA,91,17,3,,1,0.3,0.39
J. Castagnozzi,CHA,39,6,,1,2,0.44,0.17
L. Miller-Green,CHA,100,13,2,,6,0.41,0.33
M. Garcia,CHA,56,6,3,,,0.21,0.29
J. DeLeo,CHA,89,14,2,,,0.2,0.23
L. Britt,CHA,46,5,2,,1,0.28,0.2
C. Trenkle,CHA,77,7,4,,,0.19,0.35
D. Mendham,CHA,25,2,1,,,0.16,0.29
D. Tamez,CHA,35,1,2,,,0.14,0.2
D. Beavers,COT,30,5,2,,,0.3,0.5
J. Rhodes,COT,33,5,5,,,0.45,0.11
B. Rice,COT,34,6,3,,,0.35,0.55
R. Schreck,COT,39,7,1,,1,0.33,1.25
A. Garriola,COT,43,7,1,,3,0.49,0.31
C. Cummings,COT,52,10,3,1,1,0.44,0.4
B. Baldwin,COT,67,11,3,1,1,0.36,0.19
E. Figueroa,COT,11,1,,,,0.09,0
